Feature,Importance
ErrorRate,0.2543877484656472
ErrorRate_RollingMean,0.14533614943064077
ErrorRate_Lag1,0.14519673352099194
Latency,0.0949633808740439
Latency_RollingMean,0.08009657323443367
Throughput_RollingMean,0.07987527255766944
Latency_Lag1,0.07496792280566576
Memory_RollingMean,0.04481876771400979
Throughput,0.03479161333435702
Throughput_Lag1,0.01987551147687242
ErrorRate_RollingStd,0.005043266236173712
CPU_RollingMean,0.004971608304921753
CPU,0.004938635131245337
CPU_Lag1,0.004933547069909178
Memory_Lag1,0.004726226992042595
Latency_RollingStd,0.0010114632791373042
Throughput_Delta,2.1291396526825806e-05
Throughput_RollingStd,1.1335158558562798e-05
CPU_RollingStd,1.1210134265447094e-05
Latency_Delta,9.487387120591597e-06
Memory,5.554391991115137e-06
CPU_Delta,3.5866116185321464e-06
Memory_RollingStd,2.310959624361007e-06
ErrorRate_Delta,8.035325329158542e-07
Memory_Delta,0.0
