Feature,Importance
Latency_RollingMean,0.17907302816142093
ErrorRate,0.16633120337987325
ErrorRate_Lag1,0.15952390038078879
ErrorRate_RollingMean,0.12652573854701316
Latency,0.10902987685755748
Latency_Lag1,0.09060535976001391
Throughput_RollingMean,0.0748250285667124
ErrorRate_RollingStd,0.031178035416385835
Throughput,0.021804864574931613
Throughput_Lag1,0.017956604684329604
Memory_RollingMean,0.006788220414082388
Memory,0.003926399163543942
CPU_RollingMean,0.002907276946656579
Memory_Lag1,0.0028455088528009675
ErrorRate_Delta,0.0021035574655140546
Latency_RollingStd,0.000830875999945017
Memory_Delta,0.0005139938990790445
CPU_RollingStd,0.0005024522545402862
Throughput_RollingStd,0.0004927840048752675
Memory_RollingStd,0.00045755021532794523
Latency_Delta,0.00044923377516408917
Throughput_Delta,0.0003555115468521035
CPU_Delta,0.0003426721567819291
CPU,0.0003258964800117976
CPU_Lag1,0.00029356926865022775
Severity,1.0857227147424193e-05
